sy_snum,sy_pnum,pl_orbper,pl_orbper_err,pl_orbsmax,pl_orbsmax_err,pl_rade,pl_rade_err,pl_bmassj,pl_bmassj_err,pl_orbeccen,pl_orbeccen_err,pl_ratdor,pl_ratdor_err,pl_ratror,pl_ratror_err,st_teff,st_teff_err,st_rad,st_rad_err,st_mass,st_mass_err,st_met,st_met_err,st_logg,st_logg_err,st_age,st_age_err,st_vsin,st_vsin_err,Obliquity,Obliquity_err
2,5,0.7365474,1.35e-06,0.01544,5e-05,1.875,0.029,0.02514,0.0010249999999999999,0.05,0.03,3.52,0.01,0.0182,0.0002,5172.0,18.0,0.94,0.01,0.91,0.01,0.35,0.1,4.43,0.02,,,1.23,0.01,23.0,13.0
1,3,6.26791,0.00043,0.069,0.003,,,0.011,0.001,0.077,0.0625,,,,,5998.0,62.0,,,1.1,0.14,,,,,,,,,26.9,5.25
1,3,8.4629991,8.4629991,0.0645,0.0013,,,0.0633,0.005175,0.186,0.035500000000000004,,,,,3540.0,115.0,,,0.5,0.03,,,,,,,,,4.7,6.6
1,1,1.5089557,6.4e-06,,,16.7,0.9,1.03,0.12,0.0,0.0,4.92,0.08,0.1388,0.0021,5950.0,150.0,1.11,0.05,0.95,0.15,-0.3,0.25,4.25,0.3,,,5.2,1.0,77.0,11.0
2,1,1.7429935,1e-06,0.02798,0.0007800000000000001,16.432,0.482,3.47,0.22,0.0143,0.0076500000000000005,,,,,5625.0,120.0,0.91,0.03,0.96,0.08,,,,,2.7,2.95,10.87,0.32,7.2,4.5
1,1,4.2568,5e-06,,,11.32,0.78,21.66,1.0,0.0,0.0,7.8,0.4,0.0663,0.0009,6740.0,140.0,1.56,0.09,1.37,0.09,,,4.22,0.07,2.2,0.6,17.0,1.0,37.6,16.15
1,1,2.99433,1.1e-05,0.0436,0.005,16.03,0.34,2.33,0.34,0.0,0.0,6.89,0.08,0.107,0.0005,6440.0,120.0,1.37,0.03,1.27,0.05,-0.03,0.08,4.22,0.23,2.0,1.0,40.0,5.0,0.1,2.6
1,1,1.9000693,2.8e-06,0.0295,0.0016,14.68,2.02,3.47,0.38,0.08,0.08,6.35,0.4,0.1341,0.0019,5440.0,100.0,1.0,0.13,0.95,0.15,-0.1,0.1,4.4,0.1,,,8.0,1.0,20.0,20.0
1,1,3.89713,2e-05,0.0518,0.0008,14.46,0.34,1.11,0.06,0.047,0.045,6.7,0.1,0.0786,0.0004,6090.0,70.0,1.65,0.04,1.21,0.05,-0.02,0.1,4.07,0.03,5.0,1.0,6.0,1.0,52.0,24.5
1,1,5.616531,2.3e-05,0.066,0.007,15.805,1.569,0.68,0.44999999999999996,0.0,0.0,,,,,6730.0,140.0,1.52,0.15000000000000002,1.32,0.09,-0.1,0.1,4.16,0.06,2.1,0.55,25.6,0.3,84.19999999999999,11.3
