System,lambda,lambda_err,psi,psi_err,Ephemeris_reference,sy_snum,sy_pnum,cb_flag,pl_refname,pl_orbper,pl_orbper_err,pl_orbsmax,pl_orbsmax_err,pl_rade,pl_rade_err,pl_bmassj,pl_bmassj_err,pl_orbeccen,pl_orbeccen_err,pl_insol,pl_insol_err,pl_eqt,pl_eqt_err,pl_ratdor,pl_ratdor_err,pl_ratror,pl_ratror_err,st_refname,st_spectype,st_teff,st_teff_err,st_rad,st_rad_err,st_mass,st_mass_err,st_met,st_met_err,st_lum,st_lum_err,st_logg,st_logg_err,st_age,st_age_err,st_vsin,st_vsin_err,st_rotp,st_rotp_err,rowupdate
55 Cnc e,10.0,18.5,23.0,13.0,2023NatAs...7..198Z,2,5,0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,0.7365474,1.35e-06,0.01544,5e-05,1.875,0.029,0.02514,0.0010249999999999999,0.05,0.03,,,,,3.52,0.01,0.0182,0.0002,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,,5172.0,18.0,0.94,0.01,0.91,0.01,0.35,0.1,,,4.43,0.02,,,1.23,0.01,38.8,0.05,2021-02-05
pi Men c,24.0,4.1,26.9,5.25,2021MNRAS.502.2893K,1,3,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,6.26791,0.00043,0.069,0.003,,,0.011,0.001,0.077,0.0625,,,,,,,,,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,,5998.0,62.0,,,1.1,0.14,,,,,,,,,,,,,2023-06-14
AU Mic b,4.7,6.6,,,2020ApJ...899L..13H,1,3,0,<a refstr=CALE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..295C/abstract target=ref>Cale et al. 2021</a>,8.4629991,8.4629991,0.0645,0.0013,,,0.0633,0.005175,0.186,0.035500000000000004,,,,,,,,,<a refstr=CALE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..295C/abstract target=ref>Cale et al. 2021</a>,,3540.0,115.0,,,0.5,0.03,,,,,,,,,,,,,2022-05-09
CoRoT-1 b,77.0,11.0,,,2010MNRAS.402L...1P,1,1,0,<a refstr=BARGE_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...482L..17B/abstract target=ref> Barge et al. 2008 </a>,1.5089557,6.4e-06,,,16.7,0.9,1.03,0.12,0.0,0.0,,,1898.0,50.0,4.92,0.08,0.1388,0.0021,<a refstr=BARGE_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...482L..17B/abstract target=ref> Barge et al. 2008 </a>,G0 V,5950.0,150.0,1.11,0.05,0.95,0.15,-0.3,0.25,,,4.25,0.3,,,5.2,1.0,,,2014-05-14
CoRoT-2 b,7.2,4.5,,,2008A+A...482L..25B,2,1,0,<a refstr=GILLON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A&A...511A...3G/abstract target=ref> Gillon et al. 2010 </a>,1.7429935,1e-06,0.02798,0.0007800000000000001,16.432,0.482,3.47,0.22,0.0143,0.0076500000000000005,,,,,,,,,<a refstr=GILLON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A&A...511A...3G/abstract target=ref> Gillon et al. 2010 </a>,,5625.0,120.0,0.91,0.03,0.96,0.08,,,,,,,2.7,2.95,10.87,0.32,,,2014-05-14
CoRoT-3 b,37.6,16.15,,,2009A+A...506..377T,1,1,0,<a refstr=DELEUIL_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...491..889D/abstract target=ref> Deleuil et al. 2008 </a>,4.2568,5e-06,,,11.32,0.78,21.66,1.0,0.0,0.0,,,,,7.8,0.4,0.0663,0.0009,<a refstr=DELEUIL_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...491..889D/abstract target=ref> Deleuil et al. 2008 </a>,F3 V,6740.0,140.0,1.56,0.09,1.37,0.09,,,,,4.22,0.07,2.2,0.6,17.0,1.0,,,2014-05-14
CoRoT-11 b,0.1,2.6,,,2012A+A...543L...5G,1,1,0,<a refstr=GANDOLFI_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...524A..55G/abstract target=ref> Gandolfi et al. 2010 </a>,2.99433,1.1e-05,0.0436,0.005,16.03,0.34,2.33,0.34,0.0,0.0,,,1657.0,55.0,6.89,0.08,0.107,0.0005,<a refstr=GANDOLFI_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...524A..55G/abstract target=ref> Gandolfi et al. 2010 </a>,F6 V,6440.0,120.0,1.37,0.03,1.27,0.05,-0.03,0.08,,,4.22,0.23,2.0,1.0,40.0,5.0,,,2014-05-14
CoRoT-18 b,10.0,20.0,20.0,20.0,2011A+A...533A.130H,1,1,0,<a refstr=HEBRARD_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...533A.130H/abstract target=ref> Hebrard et al. 2011 </a>,1.9000693,2.8e-06,0.0295,0.0016,14.68,2.02,3.47,0.38,0.08,0.08,,,1550.0,90.0,6.35,0.4,0.1341,0.0019,<a refstr=HEBRARD_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...533A.130H/abstract target=ref> Hebrard et al. 2011 </a>,G9 V,5440.0,100.0,1.0,0.13,0.95,0.15,-0.1,0.1,,,4.4,0.1,,,8.0,1.0,,,2019-12-02
CoRoT-19 b,52.0,24.5,,,2012A+A...537A.136G,1,1,0,<a refstr=GUENTHER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...537A.136G/abstract target=ref> Guenther et al. 2012 </a>,3.89713,2e-05,0.0518,0.0008,14.46,0.34,1.11,0.06,0.047,0.045,,,2000.0,150.0,6.7,0.1,0.0786,0.0004,<a refstr=GUENTHER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...537A.136G/abstract target=ref> Guenther et al. 2012 </a>,F9 V,6090.0,70.0,1.65,0.04,1.21,0.05,-0.02,0.1,0.544,0.025,4.07,0.03,5.0,1.0,6.0,1.0,,,2014-05-14
CoRoT-36 b,84.19999999999999,11.3,,,2022MNRAS.516..636S,1,1,0,<a refstr=SEBASTIAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220708742S/abstract target=ref>Sebastian et al. 2022</a>,5.616531,2.3e-05,0.066,0.007,15.805,1.569,0.68,0.44999999999999996,0.0,0.0,,,1567.0,35.0,,,,,<a refstr=SEBASTIAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220708742S/abstract target=ref>Sebastian et al. 2022</a>,F3 V,6730.0,140.0,1.52,0.15000000000000002,1.32,0.09,-0.1,0.1,,,4.16,0.06,2.1,0.55,25.6,0.3,,,2022-08-01
DS Tuc A b,2.93,0.875,,,2020ApJ...892L..21Z,2,1,0,<a refstr=NEWTON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...880L..17N/abstract target=ref>Newton et al. 2019</a>,8.138268,1.1e-05,,,5.7,0.17,,,0.0,0.0,,,850.0,850.0,20.35,0.49,0.05419,0.00024,<a refstr=NEWTON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...880L..17N/abstract target=ref>Newton et al. 2019</a>,G6 V,5428.0,80.0,0.96,0.03,1.01,0.06,0.0,0.0,-0.14,0.008,,,0.045,0.004,17.8,0.2,2.85,0.045,2019-07-03
GJ 436 b,114.0,20.0,103.0,12.5,2022A+A...663A.160B,1,1,0,<a refstr=MACIEJEWSKI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AcA....64..323M/abstract target=ref>Maciejewski et al. 2014</a>,2.64388312,5.7e-07,0.0291,0.0015,4.17,0.168,0.07,0.007,0.13827,0.00018,,,,,13.73,0.445,0.0822,0.0010500000000000002,<a refstr=MACIEJEWSKI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AcA....64..323M/abstract target=ref>Maciejewski et al. 2014</a>,,3416.0,54.0,0.46,0.02,0.47,0.07,,,,,4.79,0.045,,,,,,,2015-02-05
